,deal,description,entrepreneurs,location,askedFor,exchangeForStake,valuation,title,Multiple Entreprenuers,year,cat_Business Services,cat_Children/Education,cat_Fashion/Beauty,cat_Fitness/Sports/Outdoors,cat_Food and Beverage,cat_Green/CleanTech,cat_Health/Wellness,cat_Lifestyle/Home,cat_Media/Entertainment,cat_Novelties,cat_Pet Products,cat_Software/Tech,cat_Travel
0,0.0,Bluetooth device implant for your ear.,Darrin Johnson,1,1000000.0,15.0,6666667.0,Ionic Ear,0,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.0,Retail and wholesale pie factory with two retail locations in New Jersey.,Tod Wilson,1,460000.0,10.0,4600000.0,Mr. Tod's Pie Factory,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1.0,Ava the Elephant is a godsend for frazzled parents of young children everywhere. This talking medicine dispenser makes it easy to administer medicine to little ones by turning the experience more playful and by providing positive reinforcement.,Tiffany Krumins,1,50000.0,15.0,333333.0,Ava the Elephant,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0.0,"Organizing, packing, and moving services delivered by college women.","Nick Friedman, Omar Soliman",1,250000.0,25.0,1000000.0,College Foxes Packing Boxes,1,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0,Interactive media centers for healthcare waiting rooms offering patients web access and educational information.,Kevin Flannery,1,1200000.0,10.0,12000000.0,Wispots,0,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0,"One of the first entrepreneurs to pitch on Shark Tank, Susan Knapp presented A Perfect Pear, her line of pear-focused gourmet food products. Sold across 650 retail stores, the Perfect Pear product portfolio includes jams, jellies, spreads, tapenades, vinegars, marinades, dressings and many others, all designed to showcase the flavors and health benefits of pears.",Susan Knapp,1,500000.0,15.0,3333333.0,A Perfect Pear,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0.0,A mixed martial arts clothing line looking to become the next big brand of active sports / streetwear apparel.,Craig French,1,200000.0,20.0,1000000.0,Crooked Jaw,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0.0,"Attach Noted is a detachable ""arm"" that holds Post-It notes on the side of a laptop screen.",Mary Ellen Simonson,1,100000.0,20.0,500000.0,Attach Noted,0,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0.0,A safety device for seatbelts. It prevents the driver from starting the vehicle unless the seatbelt is buckled.,Robert Alison,1,500000.0,10.0,5000000.0,Lifebelt,0,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.0,An educational record label and publishing house designed to get students into learning about classic works of literature.,Mark Furigay,1,250000.0,10.0,2500000.0,Classroom Jams,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1.0,"A battery-operated cooking device that siphons juice, has a silicone basting brush and an injector tip for marinades.",Marian Cruz,1,35000.0,35.0,100000.0,Turbobaster,0,2010.0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0.0,Household items with a twist: made from recycled chopsticks.,Brian Parks,1,100000.0,10.0,1000000.0,Kwytza Chopstick Art,0,2010.0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1.0,A line of books written to help children find inner calm.,Lori Lite,1,250000.0,20.0,1250000.0,Stress Free Kids,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.0,"Guitars with a folding neck, designed to fit into a backpack or an overhead compartment on an airplane.",Jeff and Josh Cohen,1,500000.0,5.0,10000000.0,Voyage Air Guitar,1,2010.0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0.0,"50 State Capitals in 50 Fun Minutes is the most efficient and entertaining method to learn about US geography. This set of flash cards combines phonetics, cartoons, and associations to keep kids' interest and drive long-term learning and retention. Author Ken Bradford worked closely with public and private school teachers to develop this fun and satisfying study aide.",Ken Bradford,1,155000.0,10.0,1550000.0,50 State Capitals in 50 Minutes,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0.0,A franchise-model company offering professional graffiti removal.,Paul Watts,1,350000.0,15.0,2333333.0,Graffiti Removal Services,0,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1.0,"Coverplay is a slipcover for children's play yards. Much like a mattress, play yards can't be laundered, yet babies and children spend lots of time in them, so you can guess what that leads to. Coverplay to the rescue! Fitting snugly over most standard size play yards, Coverplay offers a quick solution to add another layer of protection between your child and the germ-harboring surface of the play yard. Made of 95% cotton and 5% Lycra, Coverplay is machine-washable and easy to maintain. Indeed, throwing a Coverplay slipcover into the wash is much easier than trying to remove a spill that's gone directly onto the play yard. With their bright and stylish designs, they'll also make any play yard look as good as new.",Amy Feldman and Allison Costa,1,350000.0,15.0,2333333.0,Coverplay,1,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.0,"A company that owns the trademarks for the words ""Coffee,"" ""Cappuccino,"" ""Java"" and other highly-caffeinated words for use on plush toys.",Dan Claffey,1,300000.0,40.0,750000.0,Coffee Brand Gifts,0,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,1.0,A web-based company that buys back and sells some of the 10% of all unused gift cards each year in the U.S.,Kwami Kuadey,1,150000.0,30.0,500000.0,Gift Card Rescue,0,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,0.0,Inspirational gifts and accessories such as colorful umbrellas and sandals that leave messages in the sand.,Gina Catroneo,1,150000.0,25.0,600000.0,Soul's Calling,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1.0,An online journaling service focused on facilitating users' progress towards achieving and maintaining their emotional well-being.,Rodolfo and Alexis Saccoman,1,80000.0,20.0,400000.0,My Therapy Journal,1,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0.0,"Granola Gourmet offers a line of granola bars that diabetics can safely enjoy. Unlike most granola bars on the market, Granola Gourmet's bars have a low glycemic index. Having a low glycemic index means that they are less prone to causing spikes in blood sugar, which aren't good for anybody and especially damaging for diabetics. Granola Gourmet's bars are made with ingredients that naturally have a low glycemic index, so they release their carbohydrates slowly into the bloodstream. Granola Gourmet products have been tested by GI Labs, which developed the glycemic index concept. They Ultimate Fudge Brownie bar has a glycemic index of just 23, well below the threshold to be considered low glycemic.",Jeff Cohen,1,175000.0,25.0,700000.0,Granola Gourmet,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,1.0,A fitness machine with a series of bands of varying weights to make pushups easier.,Cactus Jack,1,180000.0,20.0,900000.0,Body Jac,0,2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,0.0,"A funeral concierge service that writes the eulogy, officiates the funeral service and handles all the post-funeral family gatherings.",Rikki Farrar,1,50000.0,25.0,200000.0,Good Grief Celebrations,0,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0,A line of surgical masks designed to be more fashionable and fun.,Irena Blok,1,50000.0,30.0,166667.0,Creative Blok,0,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,0.0,Sports bras engineered to work with a woman's body based on the activity she enjoys.,Kimberly Cayce,1,125000.0,20.0,625000.0,Kalyx,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,1.0,"Made-to-order energy bars made with whole, natural ingredients. Customers can choose the ingredients that go into their highly personalized bars.",Jonathan Miller,1,150000.0,15.0,1000000.0,Element Bars,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,0.0,"Pitched as a ""root beer float in a bottle"".",David Chodosh,1,150000.0,25.0,600000.0,The Fizz,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,1.0,Sells award-winning barbecue spice and rub products.,Heath Hall and Brett Thompson,1,50000.0,10.0,500000.0,Pork Barrel BBQ,1,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0.0,"Underwear designed to minimize the odor of flatulence, made of airtight material with elastic around the legs and a filter in the back.",Buck and Arlene Weimer,1,55000.0,25.0,220000.0,Charcoal Underwear,1,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,0.0,A fitness program fusing dance routines.,Dedelle Parra (now Dede Barbanti) and Kathy Lamm,1,700000.0,70.0,1000000.0,Boogie Box Fitness,1,2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,0.0,Concept for a live entertainment and amusement attraction in the Times Square area with five venues featuring restaurants and entertainment.,Todd Robbins and David Adamovich,1,300000.0,20.0,1500000.0,The Fun House Project,1,2010.0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,1.0,Stainless steel identifying charms that you stick in your food before you grill.,Leslie Haywood,1,50000.0,25.0,200000.0,Grill Charms,0,2010.0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,1.0,"A wheat-free soy-based modeling clay, designed for children with wheat allergies.",Sawyer Sparks,1,125000.0,25.0,500000.0,Soy-Yer Dough,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,0.0,"A company selling socks in ""pairs"" of three instead of two, aiming to preempt the problem of the missing sock.",Edwin Heaven,1,50000.0,25.0,200000.0,Throx,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,0.0,Fashion accessories company focused on its unique hardware buckles and belts.,Danon Beres,1,500000.0,25.0,2000000.0,Washed Up Hollywood,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,1.0,A web site that allows college students to buy and sell class notes and study guides.,D.J. Stephan and Sean Conway,1,90000.0,10.0,900000.0,Notehall,1,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,1.0,Kids' organizers that look like stuffed animals for children.,Lisa Lloyd,1,150000.0,20.0,750000.0,Treasure Chest Pets,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,1.0,Women's apparel specially designed for sizes 12 to 18.,Gayla Bentley,1,250000.0,20.0,1250000.0,Gayla Bentley Fashion,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,0.0,A virtual reality locomotion simulator.,Ray Latypov and Jim Dimascio,1,1500000.0,10.0,15000000.0,VirtuSphere,1,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,1.0,"A healthier line of carbonated beverages featuring organic ingredients, vitamins, antioxidants, and just 85 calories per can.",Dan Mackey,1,50000.0,10.0,500000.0,Chill Soda,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,0.0,Probiotic food for dogs and cats.,Dr. Geoffrey Broderick and Kristina Broderick,1,300000.0,15.0,2000000.0,Cornucopia,1,2010.0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,0.0,Custom-made bobblehead dolls.,Jeff Wolsky,1,75000.0,18.0,416667.0,The Bobble Place,0,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,1.0,"A faux golf club that looks like a 7 iron but conceals a urine reservoir, for those times golfers need to relieve themselves but there is not a restroom nearby.",Dr. Floyd Seskin,1,25000.0,51.0,49020.0,Uroclub,0,2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,1.0,An online service allowing high school athletes and their parents to profile their skills to market themselves to colleges.,Brian Duggan and Adam McCombs,1,150000.0,10.0,1500000.0,Jump Forward,1,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,0.0,A protective covering for MP3 players and similar devices.,Sandy Hyun and Roman Pietrs,1,50000.0,25.0,200000.0,Mr. Poncho,1,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,0.0,"A printer ink refill service. They send the customer a backup ink cartrige to start with. Any time the customer runs out of ink, they send the dry cartridge back to Ink Flip, while they use the replacement cartridge. Ink Flip replaces the dry cartridge with a full one. The cycle repeats when the next cartridge runs out.",Andy Sperry,1,150000.0,20.0,750000.0,Ink Flip,0,2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,0.0,A chain of children's play and learning centers.,Michael and Babz Barnett,1,300000.0,10.0,3000000.0,Romp N' Roll,1,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1.0,Salad dressings using a tasty blend of all-natural spices and seasonings.,Dorene Humason,1,50000.0,10.0,500000.0,The Chef in Black,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,0.0,A portable golf ball cleaner.,"Alfonzo Dowe, Sr.",1,85000.0,40.0,212500.0,Twister Cleaner,1,2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1.0,Designer helmets. The company owns a utility patent to place 3D designs on motorcycle helmets as well as any other kind of sporting helmet.,Marix Stone and Dr. Nancy Tanchel,1,500000.0,20.0,2500000.0,Hells Bells Helmets,1,2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,0.0,An ethical and eco-friendly apparel brand.,Nate Berkopec,1,30000.0,20.0,150000.0,The Factionist,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,1.0,Individually-packaged degreasing cleaning wipes formulated for cyclists to easily remove grease and grime from working on bicycles.,Tim Stansbury and Erin Whalen,1,40000.0,40.0,100000.0,Grease Monkey Wipes,1,2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,0.0,A face-down tanning and massage pillow with storage pockets.,Anthony and Tina Calvert,1,250000.0,33.0,757576.0,Podillow,1,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,0.0,A store designed for kids to do the shopping.,Kimberly and Matthew Foley,1,200000.0,30.0,666667.0,Wee Can Shop,1,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,1.0,A way to save the lipstick that gets stuck at the bottom of the tube.,Jill Quilln,1,105000.0,30.0,350000.0,Lipstix Remix,0,2010.0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,0.0,A mobile novelty ice cream vending business.,Tim Gavern,1,48000.0,25.0,192000.0,Captain Ice Cream,0,2010.0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,0.0,A coffeehouse that is also a legal resource center.,Jeff and Annie Hughes,1,200000.0,15.0,1333333.0,Legal Grind,1,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0
